caso,componente,material,norma,classe,estatuto,propriedade,unidade,min,max,referencia,notas,tipico,estado
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Módulo de Young,GPa,190.0,200.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Valores dependem muito de recozido vs encruado,195.0,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Tensão de cedência,MPa,190.0,690.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Valores dependem muito de recozido vs encruado,440.0,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Resistência à tração,MPa,490.0,860.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Valores dependem muito de recozido vs encruado,675.0,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Limite de fadiga (10^7 ciclos),MPa,180.0,380.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Valores dependem muito de recozido vs encruado,280.0,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Densidade,g/cm³,7.9,8.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Valores dependem muito de recozido vs encruado,7.95,A verificar
Prótese da anca,Haste femoral,Aço inox 316L,ASTM F138,Metal,Clínico,Resistência à corrosão (ordinal 1-5),-,3.0,3.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,Valores dependem muito de recozido vs encruado,3.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Módulo de Young,GPa,210.0,240.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Slides: F799 ~2x fadiga/cedência da F75,225.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Tensão de cedência,MPa,700.0,1000.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Slides: F799 ~2x fadiga/cedência da F75,850.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Resistência à tração,MPa,1000.0,1300.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Slides: F799 ~2x fadiga/cedência da F75,1150.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Limite de fadiga (10^7 ciclos),MPa,600.0,900.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Slides: F799 ~2x fadiga/cedência da F75,750.0,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Densidade,g/cm³,8.3,8.5,Niinomi M. Mater Sci Eng A 1998;243:231-236,Slides: F799 ~2x fadiga/cedência da F75,8.4,A verificar
Prótese da anca,Haste femoral,Co-Cr-Mo forjado,ASTM F799/F1537,Metal,Clínico,Resistência à corrosão (ordinal 1-5),-,4.0,4.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,Slides: F799 ~2x fadiga/cedência da F75,4.0,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Módulo de Young,GPa,110.0,114.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,112.0,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Tensão de cedência,MPa,795.0,875.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,835.0,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Resistência à tração,MPa,860.0,965.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,912.5,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Limite de fadiga (10^7 ciclos),MPa,500.0,650.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,,575.0,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Densidade,g/cm³,4.43,4.43,Niinomi M. Mater Sci Eng A 1998;243:231-236,,4.43,A verificar
Prótese da anca,Haste femoral,Ti-6Al-4V ELI,ASTM F136,Metal,Clínico,Resistência à corrosão (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,,5.0,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Módulo de Young,GPa,103.0,110.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Resistência limitada para haste de carga elevada,106.5,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Tensão de cedência,MPa,480.0,550.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Resistência limitada para haste de carga elevada,515.0,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Resistência à tração,MPa,550.0,680.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Resistência limitada para haste de carga elevada,615.0,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Limite de fadiga (10^7 ciclos),MPa,340.0,430.0,Niinomi M. Mater Sci Eng A 1998;243:231-236,Resistência limitada para haste de carga elevada,385.0,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Densidade,g/cm³,4.51,4.51,Niinomi M. Mater Sci Eng A 1998;243:231-236,Resistência limitada para haste de carga elevada,4.51,A verificar
Prótese da anca,Haste femoral,Ti cp grau 4,ASTM F67,Metal,Clínico,Resistência à corrosão (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,Resistência limitada para haste de carga elevada,5.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Módulo de Young,GPa,79.0,84.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,"Liga β sem Al/V, módulo mais baixo",81.5,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Tensão de cedência,MPa,836.0,908.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,"Liga β sem Al/V, módulo mais baixo",872.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Resistência à tração,MPa,973.0,1037.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,"Liga β sem Al/V, módulo mais baixo",1005.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Limite de fadiga (10^7 ciclos),MPa,500.0,600.0,Geetha M et al. Prog Mater Sci 2009;54:397-425,"Liga β sem Al/V, módulo mais baixo",550.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Densidade,g/cm³,4.9,5.1,Geetha M et al. Prog Mater Sci 2009;54:397-425,"Liga β sem Al/V, módulo mais baixo",5.0,A verificar
Prótese da anca,Haste femoral,Ti-13Nb-13Zr,ASTM F1713,Metal,Clínico (uso limitado),Resistência à corrosão (ordinal 1-5),-,5.0,5.0,Escala ordinal definida no trabalho (rubrica em LEIA-ME): justificar com literatura,"Liga β sem Al/V, módulo mais baixo",5.0,A verificar
